Project,file,group,genus,species,colony,field_lab,garden_worker,location
SRP018246,SRR655338,ClLW3RS1607,Cyphomyrmex,Cyphomyrmex longiscapus,RS1607,field,worker,Panama
SRP018246,SRR655339,CmFGaRS1605,Cyphomyrmex,Cyphomyrmex muelleri,RS1605,field,garden,Panama
SRP018246,SRR655340,CmFW3RS1605,Cyphomyrmex,Cyphomyrmex muelleri,RS1605,field,worker,Panama
SRP018246,SRR655341,CmLGaRS1605,Cyphomyrmex,Cyphomyrmex muelleri,RS1605,lab,garden,Austinlab
SRP018246,SRR655342,CmLGaUGM0901,Cyphomyrmex,Cyphomyrmex muelleri,UGM0901,lab,garden,Austinlab
SRP018246,SRR655343,CmLW3RS1605,Cyphomyrmex,Cyphomyrmex muelleri,RS1605,lab,worker,Austinlab
SRP018246,SRR655344,CmLW3UGM0901,Cyphomyrmex,Cyphomyrmex muelleri,UGM0901,lab,worker,Austinlab
SRP018246,SRR655345,ClFGaRS1602,Cyphomyrmex,Cyphomyrmex longiscapus,RS1602,field,garden,Panama
SRP018246,SRR655346,ClFW3RS1602,Cyphomyrmex,Cyphomyrmex longiscapus,RS1602,field,worker,Panama
SRP018246,SRR655347,TtFGaU10042706,Trachymyrmex,Trachymyrmex turrifex,U10042706,field,garden,Texas
SRP018246,SRR655348,TtFGaU10050101,Trachymyrmex,Trachymyrmex turrifex,U10050101,field,garden,Texas
SRP018246,SRR655349,TtFW5U10042706,Trachymyrmex,Trachymyrmex turrifex,U10042706,field,worker,Texas
SRP018246,SRR655350,TtFW5U10050704,Trachymyrmex,Trachymyrmex turrifex,U10050704,field,worker,Texas
SRP018246,SRR655351,TzFGaNL1604,Trachymyrmex,Trachymyrmex zeteki,NL1604,field,garden,Panama
SRP018246,SRR655352,TzFGaRS1601,Trachymyrmex,Trachymyrmex zeteki,RS1601,field,garden,Panama
SRP018246,SRR655353,TzFGaRS1603,Trachymyrmex,Trachymyrmex zeteki,RS1603,field,garden,Panama
SRP018246,SRR655354,TzFW3NL1604,Trachymyrmex,Trachymyrmex zeteki,NL1604,field,worker,Panama
SRP018246,SRR655355,TzFW3RS1601,Trachymyrmex,Trachymyrmex zeteki,RS1601,field,worker,Panama
SRP018246,SRR655356,TzFW3RS1603,Trachymyrmex,Trachymyrmex zeteki,RS1603,field,worker,Panama
SRP018246,SRR655357,3CG,Cyphomyrmex,Cyphomyrmex wheeleri,C3,field,garden,Texas
SRP018246,SRR655358,3CW,Cyphomyrmex,Cyphomyrmex wheeleri,C3,field,worker,Texas
SRP018246,SRR655359,ICG,Cyphomyrmex,Cyphomyrmex wheeleri,IC,field,garden,Texas
SRP018246,SRR655360,ICW,Cyphomyrmex,Cyphomyrmex wheeleri,IC,field,worker,Texas
SRP018246,SRR655361,YCG1,Cyphomyrmex,Cyphomyrmex rimosus,Y1,field,garden,Texas
SRP018246,SRR655362,YCG2,Cyphomyrmex,Cyphomyrmex rimosus,Y2,field,garden,Texas
